id,label,faces,vertices,bound_xmin,bound_xmax,bound_ymin,bound_ymax,bound_zmin,bound_zmax,cell_type_3,center_x,center_y,center_z,cell_area_mean,cell_area_std,faces_outlier,vertices_outlier,face_area_outlier
m638,acoustic_guitar,19723,9996,-0.3132569491863251,0.6869914531707764,-0.1296548992395401,0.16509409248828888,-0.07160596549510956,0.034208253026008606,19723,-0.017332374494661157,0.01769261400178751,-0.023868024459272986,3.667877071288768e-05,0.000107187894062654,False,False,False
m639,acoustic_guitar,18914,9995,-0.3502734899520874,0.6459628939628601,-0.16325168311595917,0.19540482759475708,-0.10638956725597382,0.05465654283761978,18914,-0.028545916216945293,0.016032504878196206,-0.024055976111272477,5.946302356184122e-05,8.551503058805665e-05,False,False,False
m640,acoustic_guitar,19818,10000,-0.35161176323890686,0.6535632610321045,-0.17670945823192596,0.20674380660057068,-0.06606989353895187,0.12425457686185837,19818,-0.01421495981717366,0.015266383751988364,0.019956174428924615,3.568034114317279e-05,7.588592940099427e-05,False,False,False
m641,acoustic_guitar,19454,9964,-0.3177565634250641,0.6807506084442139,-0.14389842748641968,0.17825308442115784,-0.024368710815906525,0.07583588361740112,19454,-0.017615911024462857,0.016778924327274698,0.023004974993524382,4.128583558383912e-05,1.4346077547817764e-05,False,False,False
m0,ant,19889,9997,-0.48142537474632263,0.631203830242157,-0.3134464919567108,0.3302663266658783,-0.13418488204479218,0.33511316776275635,19889,-0.010289152821548776,0.008651290436219029,0.008004094832854098,3.504345406014958e-05,8.071327694802188e-06,False,False,False
m1,ant,19625,9996,-0.41563114523887634,0.5418124198913574,-0.18117667734622955,0.2299117147922516,-0.13336122035980225,0.19488197565078735,19625,-0.01596523358643759,0.014241564826878349,0.013251932987617778,2.683954360156382e-05,6.424020568563353e-06,False,False,False
m2,ant,19698,9997,-0.4724239110946655,0.6308804750442505,-0.29778504371643066,0.32012319564819336,-0.13448476791381836,0.3143225312232971,19698,-0.01328352753469155,0.009512130647865925,0.008218243583753835,3.3848414226598895e-05,1.1005969088108787e-05,False,False,False
m3,ant,19722,9930,-0.46334168314933777,0.48542672395706177,-0.4518486261367798,0.5457653999328613,-0.2558768093585968,0.35036399960517883,19722,0.001529570709391422,-0.010921998544463522,0.004081228897225536,3.786046634637279e-05,1.1051563048699468e-05,False,False,False
m4,ant,19539,9999,-0.4159093499183655,0.6138110756874084,-0.264741986989975,0.29221269488334656,-0.08494236320257187,0.23908810317516327,19539,-0.022240789601649068,0.010532977909695339,0.013065134254259446,2.1362834082637725e-05,7.795575069427376e-06,False,False,False
m1555,antique_car,18291,9997,-0.47590041160583496,0.5251132845878601,-0.1391759067773819,0.2052914947271347,-0.23457473516464233,0.20569515228271484,18291,-0.019580953755759037,0.01953602260635272,0.00908438204551547,7.771156850588159e-05,0.00010368711337118596,False,False,False
