id,label,faces,vertices,bound_xmin,bound_xmax,bound_ymin,bound_ymax,bound_zmin,bound_zmax,cell_type_3,bary_center_x,bary_center_y,bary_center_z,cell_area_mean,cell_area_std,faces_outlier,vertices_outlier
m0,data,1968,1036,-0.5626324415206909,0.5525128245353699,-0.3250258266925812,0.3250257670879364,-0.166387140750885,0.3066279888153076,1968,-0.0050598084926605225,-2.9802322387695312e-08,0.0701204240322113,0.0003796373206376864,0.0004254925595257593,False,False
m1,data,1640,894,-0.4987999498844147,0.5131635665893555,-0.21452952921390533,0.2132682055234909,-0.1595010757446289,0.1870313435792923,1640,0.007181808352470398,-0.0006306618452072144,0.013765133917331696,0.0003417173062151426,0.00036671821497328823,False,False
m10,data,11920,6018,-0.5,0.5,-0.30450400710105896,0.34353920817375183,-0.166361004114151,0.18414939939975739,11920,0.0,0.019517600536346436,0.008894197642803192,3.155754081490396e-05,6.494356446735986e-05,False,False
m11,data,21960,11868,-0.4986419975757599,0.5012947916984558,-0.3202717900276184,0.3307635486125946,-0.15516075491905212,0.19911624491214752,21960,0.0013263970613479614,0.005245879292488098,0.0219777449965477,3.727365835413066e-05,9.306576483994916e-05,False,False
m12,data,26668,13558,-0.5572127103805542,0.5509638786315918,-0.3081956207752228,0.31474122405052185,-0.16993319988250732,0.2812885344028473,26668,-0.003124415874481201,0.003272801637649536,0.05567766726016998,2.660432457844783e-05,3.7977916461873234e-05,True,False
m13,data,12168,6245,-0.5739423036575317,0.5303785800933838,-0.5366361737251282,0.526787519454956,-0.2075914740562439,0.20504865050315857,12168,-0.021781861782073975,-0.00492432713508606,-0.0012714117765426636,7.955677159198044e-05,0.00016694828384343366,False,False
m14,data,2224,1168,-0.49999842047691345,0.5000015497207642,-0.4335256814956665,0.4112720787525177,-0.28037703037261963,0.2735150158405304,2224,1.564621925354004e-06,-0.011126801371574402,-0.0034310072660446167,0.00048821567126755,0.00037838957526987283,False,False
m15,data,2480,1263,-0.3061768114566803,0.3929447531700134,-0.5000001192092896,0.49999985098838806,-0.30226919054985046,0.2685415744781494,2480,0.043383970856666565,-1.341104507446289e-07,-0.016863808035850525,0.0004274786729413202,0.0010784982122448202,False,False
m16,data,3504,1776,-0.5089870095252991,0.4723384976387024,-0.23999246954917908,0.23431429266929626,-0.2036590725183487,0.1794845312833786,3504,-0.01832425594329834,-0.0028390884399414062,-0.012087270617485046,0.00016321919486711765,0.00014618892660940932,False,False
m17,data,1136,589,-0.500033974647522,0.49996599555015564,-0.4375854432582855,0.43752139806747437,-0.21259459853172302,0.2124810367822647,1136,-3.3989548683166504e-05,-3.202259540557861e-05,-5.6780874729156494e-05,0.0010457380487271298,0.0014201648280168643,False,False
m18,data,9976,4988,-0.521495521068573,0.47647640109062195,-0.4170383810997009,0.41714000701904297,-0.26995933055877686,0.2950367033481598,9976,-0.022509559988975525,5.081295967102051e-05,0.012538686394691467,4.144816966227115e-05,5.5856030196395286e-05,False,False
m19,data,9976,4988,-0.521495521068573,0.47647640109062195,-0.4170383810997009,0.41714000701904297,-0.26995933055877686,0.2950367033481598,9976,-0.022509559988975525,5.081295967102051e-05,0.012538686394691467,4.144816966227115e-05,5.5856030196395286e-05,False,False
